poi_id,level,Y_A_split_idx,total_dims,spatial_lat_norm,spatial_lon_norm,category_attraction,category_bakery,category_bank,category_bookstore,category_cafe,category_clinic,category_co_working,category_convenience_store,category_dentist,category_department_store,category_electronics_store,category_fast_food,category_gym,category_hospital,category_hostel,category_hotel,category_jewelry_store,category_mixed,category_restaurant,category_shopping_mall,category_university,num_entities_norm,text_atm,text_atm general,text_bakery,text_bank,text_bank general,text_bonding,text_bonding chill,text_bonding date,text_bonding dining,text_budget,text_budget dining,text_budget essentials,text_cafe,text_cafe bonding,text_cafe chill,text_chill,text_chill date,text_chill dining,text_clinic,text_clinic health,text_clothing_store,text_clothing_store retail,text_convenience_store,text_convenience_store essentials,text_date,text_date night,text_dining,text_dining family,text_dining luxury,text_dining social,text_essentials,text_essentials local,text_family,text_family luxury,text_family pet,text_family social,text_fast_food,text_fast_food budget,text_friendly,text_general,text_general local,text_health,text_health wellness,text_hotel,text_hotel local,text_lifestyle,text_lifestyle shopping,text_local,text_local staycation,text_local uob,text_luxury,text_night,text_night dining,text_pet,text_pet friendly,text_restaurant,text_restaurant bonding,text_restaurant date,text_restaurant dining,text_restaurant restaurant,text_retail,text_retail shopping,text_road,text_shopping,text_shopping_mall,text_social,text_social work,text_staycation,text_supermarket,text_supermarket budget,text_uob,text_uob atm,text_wellness,text_work,text_work friendly,user_count,interaction_variance,user_pref_diversity,visit_ratio,avg_rating,search_to_visit_ratio,repeat_visitor_ratio,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63,latent_64
container_FairPrice,level_1,99,171,0.07831097,1.7048898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2008031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50536215,0.50536215,0.0,0.0,0.0,0.0,0.0,0.0,0.4087561,0.49880713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2707917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
container_Good_Price_Centre,level_1,99,171,0.36889032,0.6394455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468394,0.0,0.0,0.0,0.0,0.0,0.18013556,0.0,0.0971223,0.15345888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12717657,0.12717657,0.07451485,0.07451485,0.2955355,0.36060292,0.0,0.0,0.10286525,0.12552698,0.3353831,0.20334578,0.10604955,0.17442149,0.0,0.0,0.0751201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06814591,0.0,0.0,0.1560756,0.07442929,0.07494603,0.08915541,0.08915541,0.44639906,0.20832728,0.0,0.22774486,0.23227699,0.0,0.0,0.0,0.0,0.0,0.20422605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
container_Starhub,level_1,99,171,-0.27902484,0.17425793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14286268,0.0,0.0,0.0,0.0,0.0,0.1818786,0.0,0.2941862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38522148,0.38522148,0.22570762,0.22570762,0.14919758,0.0,0.0,0.0,0.3115818,0.38022482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2064159,0.0,0.0,0.0,0.22544844,0.22701369,0.0,0.0,0.16901945,0.21034311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
container_The_Star_Vista,level_1,99,171,-0.33012456,-1.1496911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.030958567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15527569,0.18648914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119963214,0.119963214,0.3964913,0.09675718,0.3628557,0.0,0.0,0.0,0.08999019,0.16368558,0.0,0.0,0.18648914,0.18648914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1597502,0.0,0.0,0.0,0.0,0.5025396,0.11982546,0.120657384,0.0,0.0,0.2695006,0.0,0.15421358,0.24443455,0.0,0.0,0.0,0.0,0.14184073,0.16244334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
container_Katong_V,level_1,99,171,-0.4285186,1.1232164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.030958567,0.0,0.0,0.43926316,0.0,0.0,0.07327435,0.0,0.0,0.0,0.0,0.0,0.0,0.30618393,0.0,0.123131864,0.19550289,0.13956927,0.104329646,0.0,0.0,0.0,0.0,0.0,0.0,0.18186395,0.18186395,0.18032397,0.14668366,0.0,0.0,0.0,0.0,0.20463738,0.0,0.25882882,0.0,0.0,0.0,0.27501172,0.1531831,0.162535,0.0,0.0,0.0,0.0,0.121090464,0.12887411,0.08315983,0.0,0.0,0.0,0.18165512,0.18291631,0.2175963,0.2175963,0.068093725,0.0,0.11689372,0.0,0.0,0.0,0.0,0.0,0.107515104,0.123131864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11237471,0.11237471,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
container_The_Poiz_Centre,level_1,99,171,0.32563645,0.43684188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2008031,0.0,0.0,0.0,0.0,0.0,0.28096443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26155505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46431136,0.4941571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4122578,0.47213894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
container_Clarke_Quay_Central,level_1,99,171,-0.80539596,0.0023243518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37860107,0.0,0.0,0.0,0.0,0.0,0.21355364,0.09128194,0.086355045,0.068223,0.08575649,0.10299522,0.0,0.14872573,0.09128194,0.08971508,0.14244531,0.0,0.1520312,0.0,0.0,0.23507157,0.23507157,0.0,0.0,0.13250785,0.13250785,0.35036212,0.053437576,0.0,0.0,0.0,0.0,0.049700264,0.0,0.0,0.07754232,0.10299522,0.10299522,0.26716828,0.0,0.0,0.0,0.0,0.0,0.0,0.08822769,0.09389893,0.0,0.0,0.0,0.0,0.13235569,0.13327461,0.1585428,0.1585428,0.2976825,0.12348769,0.085169904,0.13499762,0.10326306,0.20984718,0.21041943,0.0,0.23500966,0.08971508,0.060528327,0.103533365,0.0,0.0,0.0,0.0,0.0,0.0,0.16375461,0.16375461,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
container_Changi_Airport_Terminal_1,level_1,99,171,1.1589075,2.8629484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2008031,0.0,0.0,0.0,0.0,0.0,0.31013408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512516,0.0,0.0,0.0,0.0,0.40306616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45505825,0.52115625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
container_Sim_Lim_Square,level_1,99,171,-0.4311868,0.12908381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2008031,0.0,0.0,0.0,0.0,0.0,0.31013408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512516,0.0,0.0,0.0,0.0,0.40306616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45505825,0.52115625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
container_Broadway_Plaza,level_1,99,171,1.4047813,-0.010819955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.14286268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17933115,0.0,0.0,0.35237154,0.0,0.0,0.20351072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36127132,0.38449368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315646,0.0,0.0,0.2763915,0.0,0.0,0.0,0.3270534,0.3207695,0.3673618,0.24784903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013423297,0.009522049,-0.0025428692,-0.013423297,-0.00064805493,0.023497663,0.009522049,-0.0025206166,7.655632e-05,0.026423229,0.020352714,-0.013423297,-0.047540616,-0.047540616,0.023497663,0.026423229,0.020352714,-0.0008587319,0.009522049,0.023497663,7.655632e-05,0.026423229,0.020352714,-0.047540616,-0.0025206166,-0.0064223586,0.005999116,-0.030388972,-0.0068603507,0.043501757,-0.04843192,0.05249,-0.0027139448,-0.2516982,-0.07393647,-0.17104365,0.002746673,-0.029250639,-0.15309265,-0.090484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
