name,category,lon,lat,district
Giant,supermarket,103.88795,1.3794345,HOUGANG
NTUC FairPrice,supermarket,103.904213,1.3923199,SENGKANG
NTUC FairPrice,supermarket,103.8841371,1.3575602,HOUGANG
Giant,supermarket,103.8970373,1.3815806,SENGKANG
Giant Hypermarket,supermarket,103.9483149,1.3312172,BEDOK
NTUC FairPrice Finest,supermarket,103.839658,1.3014954,ORCHARD
NTUC FairPrice Finest,supermarket,103.9071774,1.301342,MARINE PARADE
Cold Storage Fresh,supermarket,103.8560555,1.3001235,DOWNTOWN CORE
NTUC FairPrice,supermarket,103.8113068,1.2925348,QUEENSTOWN
NTUC FairPrice,supermarket,103.7658379,1.3128156,CLEMENTI
Cold Storage,supermarket,103.7859561,1.3176941,BUKIT TIMAH
Sheng Siong,supermarket,103.7251859,1.3255871,JURONG WEST
Sheng Siong,supermarket,103.738207,1.3221125,JURONG EAST
Cold Storage,supermarket,103.9555771,1.3215309,BEDOK
NTUC FairPrice,supermarket,103.9316518,1.3257807,BEDOK
Sheng Siong,supermarket,103.9310939,1.3244941,BEDOK
NTUC FairPrice,supermarket,103.7643947,1.3153813,CLEMENTI
NTUC FairPrice,supermarket,103.8485161,1.350271,BISHAN
NTUC Fairprice,supermarket,103.8557907,1.3238372,NOVENA
Cold Storage Fresh,supermarket,103.7953924,1.3101598,QUEENSTOWN
Cold Storage,supermarket,103.8693009,1.3874746,SERANGOON
Cold Storage,supermarket,103.8948873,1.3916794,SENGKANG
Sheng Shiong,supermarket,103.8434139,1.3702891,ANG MO KIO
NTUC FairPrice Xtra,supermarket,103.8488529,1.3693018,ANG MO KIO
NTUC FairPrice,supermarket,103.8302338,1.3543366,BISHAN
Cold Storage,supermarket,103.7955242,1.3307365,BUKIT TIMAH
Cold Storage,supermarket,103.8450553,1.3010098,MUSEUM
NTUC FairPrice,supermarket,103.7857696,1.4363491,WOODLANDS
NTUC FairPrice Finest,supermarket,103.8371761,1.3004599,ORCHARD
NTUC FairPrice Xtra,supermarket,103.7055473,1.3396665,JURONG WEST
NTUC FairPrice Xtra,supermarket,103.8722775,1.3510423,SERANGOON
Giant,supermarket,103.7472706,1.3340708,JURONG EAST
Sheng Siong,supermarket,103.7600191,1.3805261,CHOA CHU KANG
