name,category,lat,lon,brand,address,website,phone,district,street,price,popularity,characteristic
Giant,supermarket,1.3794345,103.88795,,Hougang Street 51,,,HOUGANG,Hougang Street 51,9.78 - 12.88,5,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3923199,103.904213,NTUC Fairprice,Rivervale Crescent,https://www.fairprice.com.sg/,+65 6384 4711,SENGKANG,Rivervale Crescent,6.49 - 8.90,5,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3575602,103.8841371,NTUC Fairprice,Hougang Street 21,,,HOUGANG,Hougang Street 21,8.82 - 13.67,3,"#budget, #essentials"
Giant,supermarket,1.3815806,103.8970373,,Compassvale Bow,,,SENGKANG,Compassvale Bow,4.80 - 8.47,3,"#budget, #essentials"
Giant Hypermarket,supermarket,1.3312172,103.9483149,Giant Hypermarket,Bedok Road,https://giant.sg/,+65 6243 5748,BEDOK,Bedok Road,3.19 - 7.75,3,"#budget, #essentials"
NTUC FairPrice Finest,supermarket,1.3014954,103.839658,,The Centrepoint,https://fairprice.com.sg/,+65 62631602,ORCHARD,The Centrepoint,4.90 - 8.68,5,"#budget, #essentials"
NTUC FairPrice Finest,supermarket,1.301342,103.9071774,,Marine Parade Central,https://www.fairprice.com.sg/,+65 6348 0826,MARINE PARADE,Marine Parade Central,7.54 - 12.02,5,"#budget, #essentials"
Cold Storage Fresh,supermarket,1.3001235,103.8560555,Cold Storage,Victoria Street Bugis Junction,https://www.coldstorage.com.sg/,+65 6336 1990,DOWNTOWN CORE,Victoria Street Bugis Junction,5.79 - 7.85,2,"#budget, #essentials"
NTUC FairPrice,supermarket,1.2925348,103.8113068,NTUC Fairprice,Dawson Road,,+65 64764471,QUEENSTOWN,Dawson Road,4.48 - 6.80,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3128156,103.7658379,,Clementi Avenue 3,,,CLEMENTI,Clementi Avenue 3,9.41 - 12.01,2,"#budget, #essentials"
Giant,supermarket,1.441726,103.8250677,,"604 Sembawang Road, Sembawang Shopping Centre",,,SEMBAWANG,604 Sembawang Road,3.72 - 6.03,5,"#budget, #essentials"
Cold Storage,supermarket,1.3176941,103.7859561,,Holland Road,,,BUKIT TIMAH,Holland Road,8.17 - 11.90,5,"#budget, #essentials"
Giant,supermarket,1.3416023,103.6969558,,"Jurong West Street 61, Pioneer Mall",,,JURONG WEST,Jurong West Street 61,7.61 - 11.90,1,"#budget, #essentials"
Sheng Siong,supermarket,1.3255871,103.7251859,Sheng Siong,Yuan Ching Road,,,JURONG WEST,Yuan Ching Road,5.92 - 10.88,1,"#budget, #essentials"
Sheng Siong,supermarket,1.3221125,103.738207,,Teban Gardens Road,,,JURONG EAST,Teban Gardens Road,7.91 - 10.16,3,"#budget, #essentials"
Cold Storage,supermarket,1.3215309,103.9555771,,Eastwood Road,,,BEDOK,Eastwood Road,7.64 - 11.36,4,"#budget, #essentials"
Giant,supermarket,1.3586036,103.7492177,,Blk 376 Bukit Batok St 31,,,BUKIT BATOK,Blk 376 Bukit Batok St 31,6.02 - 8.32,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3257807,103.9316518,NTUC FairPrice,Bedok North Street 1,,+65 64438038,BEDOK,Bedok North Street 1,6.63 - 11.06,3,"#budget, #essentials"
Sheng Siong,supermarket,1.3244941,103.9310939,Sheng Siong,New Upper Changi Road,https://www.shengsiong.com.sg,+65 62422824,BEDOK,New Upper Changi Road,5.82 - 9.10,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3153813,103.7643947,NTUC Fairprice,The Clementi Mall,https://www.fairprice.com.sg/,+65 66594437,CLEMENTI,The Clementi Mall,4.39 - 7.70,1,"#budget, #essentials"
NTUC FairPrice,supermarket,1.350271,103.8485161,NTUC Fairprice,Bishan Place,https://www.fairprice.com.sg/,+65 6259 0461,BISHAN,Bishan Place,3.23 - 7.97,3,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3238372,103.8557907,NTUC Fairprice,Whampoa Drive,https://www.fairprice.com.sg/,,NOVENA,Whampoa Drive,9.11 - 13.95,5,"#budget, #essentials"
Cold Storage Fresh,supermarket,1.3101598,103.7953924,,Holland Avenue,,+65 6468 5566,QUEENSTOWN,Holland Avenue,7.59 - 10.54,3,"#budget, #essentials"
Cold Storage,supermarket,1.3874746,103.8693009,,Seletar Road,,,SERANGOON,Seletar Road,6.85 - 11.56,2,"#budget, #essentials"
Cold Storage,supermarket,1.3916794,103.8948873,,Sengkang Square,https://coldstorage.com.sg,,SENGKANG,Sengkang Square,6.75 - 10.79,4,"#budget, #essentials"
Sheng Shiong,supermarket,1.3702891,103.8434139,,Ang Mo Kio Avenue 3,,,ANG MO KIO,Ang Mo Kio Avenue 3,9.05 - 11.79,2,"#budget, #essentials"
