name,category,lat,lon,district,street,price,popularity,characteristic,region
Giant,supermarket,1.3794345,103.88795,HOUGANG,Hougang Street 51,9.78 - 12.88,5,"#budget, #essentials",NORTH-EAST
NTUC FairPrice,supermarket,1.3923199,103.904213,SENGKANG,Rivervale Crescent,6.49 - 8.90,5,"#budget, #essentials",NORTH-EAST
NTUC FairPrice,supermarket,1.3575602,103.8841371,HOUGANG,Hougang Street 21,8.82 - 13.67,3,"#budget, #essentials",NORTH-EAST
Giant,supermarket,1.3815806,103.8970373,SENGKANG,Compassvale Bow,4.80 - 8.47,3,"#budget, #essentials",NORTH-EAST
Giant Hypermarket,supermarket,1.3312172,103.9483149,BEDOK,Bedok Road,3.19 - 7.75,3,"#budget, #essentials",EAST
NTUC FairPrice Finest,supermarket,1.3014954,103.839658,ORCHARD,The Centrepoint,4.90 - 8.68,5,"#budget, #essentials",CENTRAL
NTUC FairPrice Finest,supermarket,1.301342,103.9071774,MARINE PARADE,Marine Parade Central,7.54 - 12.02,5,"#budget, #essentials",CENTRAL
Cold Storage Fresh,supermarket,1.3001235,103.8560555,DOWNTOWN CORE,Victoria Street Bugis Junction,5.79 - 7.85,2,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.2925348,103.8113068,QUEENSTOWN,Dawson Road,4.48 - 6.80,4,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3128156,103.7658379,CLEMENTI,Clementi Avenue 3,9.41 - 12.01,2,"#budget, #essentials",WEST
Cold Storage,supermarket,1.3176941,103.7859561,BUKIT TIMAH,Holland Road,8.17 - 11.90,5,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3255871,103.7251859,JURONG WEST,Yuan Ching Road,5.92 - 10.88,1,"#budget, #essentials",WEST
Sheng Siong,supermarket,1.3221125,103.738207,JURONG EAST,Teban Gardens Road,7.91 - 10.16,3,"#budget, #essentials",WEST
Cold Storage,supermarket,1.3215309,103.9555771,BEDOK,Eastwood Road,7.64 - 11.36,4,"#budget, #essentials",EAST
NTUC FairPrice,supermarket,1.3257807,103.9316518,BEDOK,Bedok North Street 1,6.63 - 11.06,3,"#budget, #essentials",EAST
Sheng Siong,supermarket,1.3244941,103.9310939,BEDOK,New Upper Changi Road,5.82 - 9.10,4,"#budget, #essentials",EAST
NTUC FairPrice,supermarket,1.3153813,103.7643947,CLEMENTI,The Clementi Mall,4.39 - 7.70,1,"#budget, #essentials",WEST
NTUC FairPrice,supermarket,1.350271,103.8485161,BISHAN,Bishan Place,3.23 - 7.97,3,"#budget, #essentials",CENTRAL
NTUC Fairprice,supermarket,1.3238372,103.8557907,NOVENA,Whampoa Drive,9.11 - 13.95,5,"#budget, #essentials",CENTRAL
Cold Storage Fresh,supermarket,1.3101598,103.7953924,QUEENSTOWN,Holland Avenue,7.59 - 10.54,3,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3874746,103.8693009,SERANGOON,Seletar Road,6.85 - 11.56,2,"#budget, #essentials",NORTH-EAST
Cold Storage,supermarket,1.3916794,103.8948873,SENGKANG,Sengkang Square,6.75 - 10.79,4,"#budget, #essentials",NORTH-EAST
Sheng Shiong,supermarket,1.3702891,103.8434139,ANG MO KIO,Ang Mo Kio Avenue 3,9.05 - 11.79,2,"#budget, #essentials",NORTH-EAST
NTUC FairPrice Xtra,supermarket,1.3693018,103.8488529,ANG MO KIO,AMK Hub,6.67 - 11.35,2,"#budget, #essentials",NORTH-EAST
NTUC FairPrice,supermarket,1.3543366,103.8302338,BISHAN,Upper Thomson Road,7.10 - 11.13,1,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3307365,103.7955242,BUKIT TIMAH,Fifth Avenue,6.66 - 11.59,2,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3010098,103.8450553,MUSEUM,Orchard Road,8.01 - 11.08,4,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.4363491,103.7857696,WOODLANDS,Woodlands Square,9.58 - 12.68,4,"#budget, #essentials",NORTH
NTUC FairPrice Finest,supermarket,1.3004599,103.8371761,ORCHARD,111 Somerset,7.66 - 10.35,4,"#budget, #essentials",CENTRAL
NTUC FairPrice Xtra,supermarket,1.3396665,103.7055473,JURONG WEST,Jurong Central 3,4.57 - 8.91,5,"#budget, #essentials",WEST
NTUC FairPrice Xtra,supermarket,1.3510423,103.8722775,SERANGOON,Serangoon Central,7.66 - 10.96,3,"#budget, #essentials",NORTH-EAST
Giant,supermarket,1.3340708,103.7472706,JURONG EAST,Jurong East Street 21,4.31 - 7.31,1,"#budget, #essentials",WEST
Sheng Siong,supermarket,1.3805261,103.7600191,CHOA CHU KANG,Woodlands Road,6.03 - 9.55,2,"#budget, #essentials",WEST
Cold Storage,supermarket,1.3020336,103.8763916,KALLANG,Stadium Walk,6.34 - 9.67,4,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.2760543,103.843136,OUTRAM,Tanjong Pagar Road,4.49 - 8.29,2,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3382406,103.7783181,BUKIT TIMAH,Jalan Anak Bukit,5.57 - 9.59,4,"#budget, #essentials",CENTRAL
